Review_ID,Customer_Review,Cleaned_Review,Predicted_Sentiment,Confidence_Score
1,"Perfect fit and amazing material, 10/10 would recommend","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
2,<p>Very disappointed. Quality is poor and it stopped working.</p>,Very disappointed. Quality is poor and it stopped working.,Negative,0.9998
3,This product is AMAZING!!! Best purchase I've made this year 😍😍 ngl,This product is AMAZING!!! Best purchase I've made this year ngl,Positive,0.9999
4,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
5,"Awful experience, customer service was useless too 👎","Awful experience, customer service was useless too",Negative,0.9998
6,"great quality, fast shipping, highly recommend!!","great quality, fast shipping, highly recommend!!",Positive,0.9999
7,"<p>Average product, met basic expectations.</p> ","Average product, met basic expectations.",Positive,0.9831
8,<p>Absolutely love it! Works perfectly and looks great.</p> ,Absolutely love it! Works perfectly and looks great.,Positive,0.9999
9,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
10,This product is AMAZING!!! Best purchase I've made this year 😍😍 lol,This product is AMAZING!!! Best purchase I've made this year lol,Positive,0.9998
11,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Very disappointed. Quality is poor and it stopped working. fr fr,Negative,0.9998
12,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
13,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
14,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
15,"Terrible product, broke after 2 days!!! waste of money 😡 ","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
16,"Awful experience, customer service was useless too 👎 ","Awful experience, customer service was useless too",Negative,0.9998
17,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
18,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
19,This exceeded my expectations!! Super happy with it. ,This exceeded my expectations!! Super happy with it.,Positive,0.9999
20,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
21,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
22,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
23,This product is AMAZING!!! Best purchase I've made this year 😍😍,This product is AMAZING!!! Best purchase I've made this year,Positive,0.9999
24,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
25,"Extremely unhappy with this product, returning it ASAP fr fr","Extremely unhappy with this product, returning it ASAP fr fr",Negative,0.9994
26,"Standard quality, does what it says on the box","Standard quality, does what it says on the box",Positive,0.9946
27,Nothing to complain about but nothing impressive either   ,Nothing to complain about but nothing impressive either,Negative,0.9625
28,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
29,"great quality, fast shipping, highly recommend!! fr fr","great quality, fast shipping, highly recommend!! fr fr",Positive,0.9998
30,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
31,"Wow this is fantastic, better than I expected    lol","Wow this is fantastic, better than I expected lol",Positive,0.9999
32,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
33,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
34,<p>Absolutely love it! Works perfectly and looks great.</p>,Absolutely love it! Works perfectly and looks great.,Positive,0.9999
35,"Wow this is fantastic, better than I expected   ","Wow this is fantastic, better than I expected",Positive,0.9999
36,"Does not work, false advertising, very upset customer ngl","Does not work, false advertising, very upset customer ngl",Negative,0.9997
37,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
38,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
39,"Extremely unhappy with this product, returning it ASAP lol","Extremely unhappy with this product, returning it ASAP lol",Negative,0.9994
40,"<span>Best purchase ever, totally worth the price</span> tbh","Best purchase ever, totally worth the price tbh",Positive,0.9993
41,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
42,<p>Absolutely love it! Works perfectly and looks great.</p> tbh,Absolutely love it! Works perfectly and looks great. tbh,Positive,0.9999
43,<p>Absolutely love it! Works perfectly and looks great.</p>,Absolutely love it! Works perfectly and looks great.,Positive,0.9999
44,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
45,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
46,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
47,"Defective item, had to return it immediately","Defective item, had to return it immediately",Negative,0.9998
48,"Worst customer service I've ever dealt with, avoid this seller","Worst customer service I've ever dealt with, avoid this seller",Negative,0.9998
49,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
50,"Works exactly as advertised, no complaints at all!!! ngl","Works exactly as advertised, no complaints at all!!! ngl",Positive,0.7098
51,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
52,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
53,"<p>Average product, met basic expectations.</p> lol","Average product, met basic expectations. lol",Neutral,0.6153
54,"Perfect fit and amazing material, 10/10 would recommend","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
55,I'm so happy with this purchase 🎉 exceeded my expectations ngl,I'm so happy with this purchase exceeded my expectations ngl,Positive,0.9999
56,<p>Absolutely love it! Works perfectly and looks great.</p> fr fr,Absolutely love it! Works perfectly and looks great. fr fr,Positive,0.9999
57,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
58,"Complete waste of money, doesn't work as described at all","Complete waste of money, doesn't work as described at all",Negative,0.9998
59,"<div>It's an okay product, similar to others I've used.</div> tbh","It's an okay product, similar to others I've used. tbh",Positive,0.9996
60,Nothing to complain about but nothing impressive either   ,Nothing to complain about but nothing impressive either,Negative,0.9625
61,"decent for the price, not amazing but not bad either","decent for the price, not amazing but not bad either",Positive,0.9969
62,"Wow this is fantastic, better than I expected    ngl","Wow this is fantastic, better than I expected ngl",Positive,0.9999
63,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
64,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
65,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
66,"Five stars, no question. Will be buying more from this brand lol","Five stars, no question. Will be buying more from this brand lol",Negative,0.9348
