Review_ID,Customer_Review,True_Sentiment
1,"Perfect fit and amazing material, 10/10 would recommend",Positive
2,<p>Very disappointed. Quality is poor and it stopped working.</p>,Negative
3,This product is AMAZING!!! Best purchase I've made this year 😍😍 ngl,Positive
4,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
5,"Awful experience, customer service was useless too 👎",Negative
6,"great quality, fast shipping, highly recommend!!",Positive
7,"<p>Average product, met basic expectations.</p> ",Neutral
8,<p>Absolutely love it! Works perfectly and looks great.</p> ,Positive
9,"Really good value for money, will buy again 👍",Positive
10,This product is AMAZING!!! Best purchase I've made this year 😍😍 lol,Positive
11,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Negative
12,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
13,"Horrible quality, fell apart within a week 😠😠",Negative
14,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
15,"Terrible product, broke after 2 days!!! waste of money 😡 ",Negative
16,"Awful experience, customer service was useless too 👎 ",Negative
17,"Really good value for money, will buy again 👍",Positive
18,"Works fine I guess, no strong feelings either way",Neutral
19,This exceeded my expectations!! Super happy with it. ,Positive
20,<div>Product arrived damaged and seller refused refund.</div>,Negative
21,Super impressed with the build quality and design 😊,Positive
22,"Works exactly as advertised, no complaints at all!!!",Positive
23,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
24,Super impressed with the build quality and design 😊,Positive
25,"Extremely unhappy with this product, returning it ASAP fr fr",Negative
26,"Standard quality, does what it says on the box",Neutral
27,Nothing to complain about but nothing impressive either   ,Neutral
28,<div>Product arrived damaged and seller refused refund.</div>,Negative
29,"great quality, fast shipping, highly recommend!! fr fr",Positive
30,Super impressed with the build quality and design 😊,Positive
31,"Wow this is fantastic, better than I expected    lol",Positive
32,"<p>Average product, met basic expectations.</p>",Neutral
33,"Really good value for money, will buy again 👍",Positive
34,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
35,"Wow this is fantastic, better than I expected   ",Positive
36,"Does not work, false advertising, very upset customer ngl",Negative
37,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
38,<div>Product arrived damaged and seller refused refund.</div>,Negative
39,"Extremely unhappy with this product, returning it ASAP lol",Negative
40,"<span>Best purchase ever, totally worth the price</span> tbh",Positive
41,"Mediocre experience, neither great nor terrible",Neutral
42,<p>Absolutely love it! Works perfectly and looks great.</p> tbh,Positive
43,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
44,"Horrible quality, fell apart within a week 😠😠",Negative
45,"<div>It's an okay product, similar to others I've used.</div>",Neutral
46,"Works exactly as advertised, no complaints at all!!!",Positive
47,"Defective item, had to return it immediately",Negative
48,"Worst customer service I've ever dealt with, avoid this seller",Negative
49,"Poor quality control, item was broken on arrival",Negative
50,"Works exactly as advertised, no complaints at all!!! ngl",Positive
51,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
52,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
53,"<p>Average product, met basic expectations.</p> lol",Neutral
54,"Perfect fit and amazing material, 10/10 would recommend",Positive
55,I'm so happy with this purchase 🎉 exceeded my expectations ngl,Positive
56,<p>Absolutely love it! Works perfectly and looks great.</p> fr fr,Positive
57,"<p>Average product, met basic expectations.</p>",Neutral
58,"Complete waste of money, doesn't work as described at all",Negative
59,"<div>It's an okay product, similar to others I've used.</div> tbh",Neutral
60,Nothing to complain about but nothing impressive either   ,Neutral
61,"decent for the price, not amazing but not bad either",Neutral
62,"Wow this is fantastic, better than I expected    ngl",Positive
63,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
64,"<div>It's an okay product, similar to others I've used.</div>",Neutral
65,"<span>Best purchase ever, totally worth the price</span>",Positive
66,"Five stars, no question. Will be buying more from this brand lol",Positive
67,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
68,"decent for the price, not amazing but not bad either",Neutral
69,"Horrible quality, fell apart within a week 😠😠",Negative
70,"<span>Best purchase ever, totally worth the price</span>",Positive
71,"Works fine I guess, no strong feelings either way fr fr",Neutral
72,"I regret this purchase so much, total disappointment",Negative
73,"Really good value for money, will buy again 👍 ngl",Positive
74,"Poor quality control, item was broken on arrival",Negative
75,"Perfect fit and amazing material, 10/10 would recommend ",Positive
76,"Works fine I guess, no strong feelings either way ngl",Neutral
77,"Works exactly as advertised, no complaints at all!!!",Positive
78,"It's okay, does the job but nothing special. fr fr",Neutral
79,"Does not work, false advertising, very upset customer",Negative
80,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
81,Super impressed with the build quality and design 😊,Positive
82,this is garbage honestly   never buying again,Negative
83,"Really good value for money, will buy again 👍",Positive
84,"<div>Excellent product, exactly as described. 5 stars!</div> lol",Positive
85,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
86,"Poor quality control, item was broken on arrival ",Negative
87,"Poor quality control, item was broken on arrival ngl",Negative
88,"Awful experience, customer service was useless too 👎 tbh",Negative
89,"Complete waste of money, doesn't work as described at all",Negative
90,"It's fine, gets the job done without any issues fr fr",Neutral
91,"<div>Excellent product, exactly as described. 5 stars!</div> fr fr",Positive
92,"Works fine I guess, no strong feelings either way",Neutral
93,"<span>Best purchase ever, totally worth the price</span>",Positive
94,"Mediocre experience, neither great nor terrible",Neutral
95,"Horrible quality, fell apart within a week 😠😠 ngl",Negative
96,"<span>Best purchase ever, totally worth the price</span>",Positive
97,"Pretty average overall, might consider other options next time",Neutral
98,"Really good value for money, will buy again 👍",Positive
99,"Poor quality control, item was broken on arrival",Negative
100,"Pretty average overall, might consider other options next time",Neutral
101,"Complete waste of money, doesn't work as described at all ngl",Negative
102,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
103,"do not buy this, worst purchase ever ",Negative
104,This exceeded my expectations!! Super happy with it.,Positive
105,<p>Absolutely love it! Works perfectly and looks great.</p> lol,Positive
106,"Does not work, false advertising, very upset customer",Negative
107,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Negative
108,"Defective item, had to return it immediately fr fr",Negative
109,Super impressed with the build quality and design 😊,Positive
110,"Defective item, had to return it immediately",Negative
111,"Complete waste of money, doesn't work as described at all",Negative
112,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
113,<p>Absolutely love it! Works perfectly and looks great.</p> tbh,Positive
114,"Standard quality, does what it says on the box",Neutral
115,"Pretty average overall, might consider other options next time",Neutral
116,"I regret this purchase so much, total disappointment",Negative
117,"Horrible quality, fell apart within a week 😠😠",Negative
118,"<div>Excellent product, exactly as described. 5 stars!</div>",Positive
119,"Love love LOVE this product, can't recommend enough lol",Positive
120,"Defective item, had to return it immediately lol",Negative
121,"Mediocre experience, neither great nor terrible",Neutral
